filename,composer,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,chord_C:maj,chord_G#:maj,chord_F:maj,chord_G:maj,chord_Bb:maj,chord_Eb:maj,chord_C#:maj,chord_C:min,chord_F:min,chord_A:maj,chord_F#:maj,chord_D:maj,chord_E:maj,chord_Bb:min,chord_A:min,chord_G:min,chord_C#:min,chord_Eb:min,chord_E:min,chord_G#:min,chord_D:min,chord_F#:min,chord_B:min,chord_B:maj,rh_bin_16th,rh_bin_8th,rh_bin_qtr,rh_bin_half,rh_bin_whole,rh_mean_dur,rh_var_dur,rh_mean_ioi,rh_var_ioi
chopin-p15.mid,chopin,0.0424886191198786,0.0834597875569044,0.0015174506828528,0.047040971168437,0.0045523520485584,0.0773899848254931,0.0227617602427921,0.0030349013657056,0.6707132018209409,0.0030349013657056,0.0409711684370258,0.0030349013657056,0,50,0,0,0,0,44,0,12,0,0,0,16,3,0,0,74,2,0,27,0,6,0,0,0.0849772382397572,1.5842185128983308,0.1229135053110773,0.0257966616084977,0.0,0.704855842185129,0.3423284693550949,0.5349544072948328,0.9313389796842232
chopin-p17.mid,chopin,0.2663934426229508,0.1270491803278688,0.0163934426229508,0.1393442622950819,0.0737704918032786,0.0491803278688524,0.0245901639344262,0.0122950819672131,0.1557377049180328,0.0081967213114754,0.0983606557377049,0.0286885245901639,0,65,0,0,0,61,35,0,0,2,4,1,25,1,6,0,11,0,0,15,0,2,0,0,0.0655737704918032,1.2459016393442623,0.2131147540983606,0.0737704918032786,0.0,1.0536202185792352,0.7604730051285508,1.0987654320987654,1.4408626733729617
chopin-p4.mid,chopin,0.141025641025641,0.0,0.0384615384615384,0.0512820512820512,0.1282051282051282,0.0,0.1282051282051282,0.0384615384615384,0.0256410256410256,0.1666666666666666,0.0384615384615384,0.2435897435897435,4,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,18,0,0,0,0,3,0.6666666666666666,0.7435897435897436,0.2307692307692307,0.1153846153846153,0.0,1.1666666666666663,1.0496794871794866,1.1558441558441557,1.0606693090459336
chopin_op23.mid,chopin,0.0859021783806,0.0209617755856966,0.1697492807233867,0.1089190300041101,0.0386354295108919,0.0805589806822852,0.0513769009453349,0.1208384710234278,0.0604192355117139,0.0690505548705302,0.1623510069872585,0.0312371557747636,2,24,4,0,9,29,1,32,6,6,0,16,7,0,11,102,2,2,0,3,6,10,1,0,1.773941635840526,0.6715988491574189,0.1298808055898068,0.0437731196054254,0.0,0.665707631182353,0.524117680972502,0.4766652960526312,1.5705189738651135
chopin-p16.mid,chopin,0.1161217587373168,0.1296505073280721,0.0338218714768883,0.1319052987598647,0.0653889515219842,0.1409244644870349,0.09695603156708,0.0214205186020293,0.0642615558060879,0.060879368658399,0.1161217587373168,0.0225479143179255,2,0,1,0,6,0,3,0,0,0,1,0,0,7,0,0,0,2,0,0,0,0,0,7,3.4949267192784665,0.2502818489289741,0.0,0.0005636978579481,0.0,0.2852311161217587,0.0115124324928918,0.1983634311512415,0.0132055609200556
chopin-p5.mid,chopin,0.0119047619047619,0.0928571428571428,0.1380952380952381,0.0,0.1380952380952381,0.0214285714285714,0.1047619047619047,0.1071428571428571,0.019047619047619,0.2023809523809523,0.05,0.1142857142857142,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,6,0,0,1,0,0,3.857142857142857,0.0714285714285714,0.0,0.0,0.0,0.2591269841269841,0.002165375409423,0.1288782816229117,0.0156099589316533
chopin-p1.mid,chopin,0.2098765432098765,0.0123456790123456,0.037037037037037,0.0246913580246913,0.1358024691358024,0.0246913580246913,0.0123456790123456,0.2098765432098765,0.0123456790123456,0.2098765432098765,0.0246913580246913,0.0864197530864197,29,0,4,0,1,0,0,7,0,0,0,0,0,0,14,3,0,0,21,0,0,0,3,1,2.108108108108108,0.918918918918919,0.0135135135135135,0.0,0.0,0.4362139917695473,0.0468572710799505,0.41875,0.0979123263888891
chopin-p12.mid,chopin,0.0239043824701195,0.0916334661354581,0.0318725099601593,0.1832669322709163,0.0756972111553784,0.0159362549800796,0.0517928286852589,0.0438247011952191,0.0717131474103585,0.0557768924302788,0.1513944223107569,0.2031872509960159,3,0,0,3,0,7,0,0,0,1,1,0,5,0,7,0,6,3,8,19,0,0,6,8,3.1235059760956174,0.2231075697211155,0.1075697211155378,0.0,0.0,0.4027224435590969,0.1318330044143919,0.473,0.5035210000000001
chopin-p13.mid,chopin,0.0402414486921529,0.158953722334004,0.0100603621730382,0.1086519114688128,0.0321931589537223,0.1187122736418511,0.1750503018108652,0.0221327967806841,0.1267605633802817,0.0020120724346076,0.1227364185110664,0.0824949698189134,0,0,0,0,0,0,14,0,1,0,77,0,2,10,0,0,6,24,0,13,0,0,0,6,0.1770623742454728,1.7223340040241448,0.0261569416498993,0.028169014084507,0.0,0.6846076458752515,0.5684099567222246,0.4470766129032258,0.0547848005820759
chopin-p11.mid,chopin,0.0,0.1074766355140186,0.0046728971962616,0.1588785046728972,0.0514018691588785,0.014018691588785,0.3691588785046729,0.0046728971962616,0.0934579439252336,0.0,0.0794392523364486,0.116822429906542,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,2,0,0,0,8,0.3364485981308411,1.7476635514018692,0.0186915887850467,0.0116822429906542,0.0,0.5514018691588785,0.1533157917722072,0.3661971830985915,0.2279888249685909
