filename,composer,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11
beethoven_opus10_3.mid,beethoven,0.20882150241212957,0.006891798759476223,0.11440385940730531,0.17436250861474845,0.01722949689869056,0.08614748449345279,0.019297036526533425,0.12474155754651964,0.07925568573397657,0.01171605789110958,0.061337008959338385,0.0957960027567195
beethoven_mond_1.mid,beethoven,0.05161290322580645,0.16344086021505377,0.01935483870967742,0.08064516129032258,0.12043010752688173,0.016129032258064516,0.13763440860215054,0.03655913978494624,0.18387096774193548,0.09032258064516129,0.008602150537634409,0.0913978494623656
beethoven_mond_3.mid,beethoven,0.036818851251840944,0.17574864997545409,0.023809523809523808,0.11978399607265587,0.0817378497790869,0.019391261659302897,0.06455571919489446,0.035837015218458515,0.2812960235640648,0.06602847324496809,0.033382425135002454,0.06161021109474718
beethoven_opus10_1.mid,beethoven,0.159547092125579,0.02213072568193515,0.0725681935151827,0.15851775604734947,0.027277406073082863,0.11116829644879053,0.023674729799279464,0.15079773546062789,0.06227483273288729,0.03242408646423057,0.1399897066392177,0.03962943901183737
beethoven_mond_2.mid,beethoven,0.05555555555555555,0.2111111111111111,0.0,0.11851851851851852,0.0,0.06666666666666667,0.11481481481481481,0.037037037037037035,0.24444444444444444,0.0,0.14074074074074075,0.011111111111111112
beethoven_elise.mid,beethoven,0.10990502035278155,0.0,0.051560379918588875,0.07327001356852103,0.31614654002713705,0.024423337856173677,0.0,0.027137042062415198,0.032564450474898234,0.24151967435549526,0.031207598371777476,0.09226594301221167
beethoven_les_adieux_3.mid,beethoven,0.10778443113772455,0.013972055888223553,0.09221556886227544,0.10858283433133732,0.015568862275449102,0.14810379241516966,0.02594810379241517,0.1600798403193613,0.08822355289421158,0.0343313373253493,0.19121756487025948,0.013972055888223553
beethoven_les_adieux_2.mid,beethoven,0.18324607329842932,0.049738219895287955,0.1806282722513089,0.060209424083769635,0.028795811518324606,0.0968586387434555,0.049738219895287955,0.12827225130890052,0.05235602094240838,0.07068062827225131,0.060209424083769635,0.03926701570680628
beethoven_les_adieux_1.mid,beethoven,0.14379868184541642,0.005392450569203115,0.07369682444577591,0.1354104254044338,0.007789095266626723,0.14799281006590773,0.019772318753744758,0.08508088675853805,0.06411024565608149,0.04973037747153984,0.2396644697423607,0.02756141402037148
beethoven_waldstein_3.mid,beethoven,0.15755297334244703,0.01845522898154477,0.10628844839371156,0.039986329460013674,0.11175666438824333,0.08954203691045796,0.020164046479835954,0.23786739576213262,0.03007518796992481,0.06254272043745727,0.020847573479152427,0.10492139439507861
beethoven_opus22_1.mid,beethoven,0.11600587371512482,0.039060205580029365,0.11395007342143906,0.06754772393538913,0.07048458149779736,0.2,0.021439060205580028,0.06930983847283406,0.024669603524229075,0.09838472834067548,0.15506607929515417,0.02408223201174743
beethoven_appass_1.mid,beethoven,0.192297333692432,0.11365472663614327,0.014812819822246161,0.10557500673309991,0.08160517102073794,0.09453272286560732,0.03285752760570967,0.06840829517910046,0.1545919741448963,0.020737947751144625,0.07998922704012927,0.04093724750875303
beethoven_waldstein_2.mid,beethoven,0.1144578313253012,0.03614457831325301,0.04819277108433735,0.018072289156626505,0.0783132530120482,0.21686746987951808,0.018072289156626505,0.12048192771084337,0.04216867469879518,0.10843373493975904,0.08433734939759036,0.1144578313253012
beethoven_opus22_2.mid,beethoven,0.057692307692307696,0.036057692307692304,0.0733173076923077,0.21153846153846154,0.02403846153846154,0.11778846153846154,0.046875,0.07932692307692307,0.0829326923076923,0.02283653846153846,0.1971153846153846,0.05048076923076923
beethoven_appass_3.mid,beethoven,0.1939859823649107,0.09156680985756274,0.020122089079810085,0.05674881302283518,0.05132263169794257,0.17793352927877007,0.04973999547818223,0.08297535609314945,0.11553244404250508,0.032104906172281254,0.10151480895319918,0.02645263395885146
beethoven_hammerklavier_4.mid,beethoven,0.09229789942711648,0.0668364099299809,0.10460428601739868,0.08826649692340335,0.06938255887969447,0.09526840653511563,0.07383831954169319,0.1039677487799703,0.057076172289412266,0.08338637810311904,0.10099724167197115,0.06407808190112455
beethoven_appass_2.mid,beethoven,0.0693950177935943,0.19395017793594305,0.0,0.1103202846975089,0.0,0.1387900355871886,0.1708185053380783,0.0071174377224199285,0.2704626334519573,0.014234875444839857,0.023131672597864767,0.0017793594306049821
beethoven_opus22_3.mid,beethoven,0.10250201775625505,0.020177562550443905,0.162227602905569,0.11460855528652139,0.01775625504439064,0.13478611783696529,0.052461662631154156,0.11299435028248588,0.0129136400322841,0.10250201775625505,0.13155770782889428,0.03551251008878128
beethoven_waldstein_1.mid,beethoven,0.11107130060910068,0.02991759226083841,0.08402006449301326,0.07004657828735221,0.12164098889286994,0.06108921533500537,0.05249014690075242,0.11716230741669652,0.06431386599785023,0.1028305266929416,0.03099247581512003,0.15442493729845932
beethoven_hammerklavier_1.mid,beethoven,0.099302649930265,0.03570432357043236,0.1391910739191074,0.08228730822873083,0.04602510460251046,0.11297071129707113,0.07336122733612273,0.12105997210599721,0.027615062761506277,0.08396094839609484,0.10237099023709903,0.07615062761506276
beethoven_opus22_4.mid,beethoven,0.08470394736842106,0.01644736842105263,0.09786184210526316,0.08141447368421052,0.017269736842105265,0.31167763157894735,0.018092105263157895,0.0756578947368421,0.03125,0.08717105263157894,0.15625,0.022203947368421052
beethoven_hammerklavier_3.mid,beethoven,0.021111111111111112,0.17666666666666667,0.07222222222222222,0.052222222222222225,0.04555555555555556,0.04777777777777778,0.14666666666666667,0.08555555555555555,0.09111111111111111,0.11666666666666667,0.04888888888888889,0.09555555555555556
beethoven_hammerklavier_2.mid,beethoven,0.15988372093023256,0.046511627906976744,0.16279069767441862,0.09011627906976744,0.03197674418604651,0.1511627906976744,0.014534883720930232,0.11337209302325581,0.01744186046511628,0.03488372093023256,0.09011627906976744,0.0872093023255814
haydn_43_1.mid,haydn,0.12521079258010118,0.0733558178752108,0.047639123102866776,0.19224283305227655,0.007166947723440135,0.0990725126475548,0.008010118043844857,0.10919055649241147,0.18254637436762225,0.003372681281618887,0.1399662731871838,0.012225969645868466
haydn_43_2.mid,haydn,0.13976377952755906,0.06496062992125984,0.04330708661417323,0.297244094488189,0.0,0.08661417322834646,0.0,0.07086614173228346,0.18700787401574803,0.005905511811023622,0.10433070866141732,0.0
haydn_8_4.mid,haydn,0.1388888888888889,0.0,0.25,0.0,0.03333333333333333,0.0,0.05555555555555555,0.24444444444444444,0.0,0.10555555555555556,0.0,0.17222222222222222
